Name,Website,Level of operation,Country,latitude,longitude,Continent,Headquater,Start,Type (ILO),Typology,Sector (ILO definitions),Sub-category,Type of work,Size,Business model,Employment relationship,Payment,Working hours,Worker provisions,Quality assurance measures,Matching method,Disputes,Skill level (professional),Skill level (digital),Language,Contact,Founder
Gebeya,https://gebeya.com/,Regional,Africa,-8.783195,34.508523,Africa,"Addis Ababa, Ethiopia",2016,Web-based,Online marketplace with a threshold,Professional services,Multi-sectoral freelancing,"IT, designer, marketing",-,"Workers: Experienced freelancers.
Platform: a freelancer marketplace.
- Take a vetting process of the freelancers: they will conduct an initial profile review on the applicants' skill sets, experience, etc. Then the freelancers will need to take a mandatory testing for their English-language proficiency and industry-standard skill sets to validate their expertise and level. Only upon passing will they proceed to be reviewed by a subject-matter expert who ultimately decide their fit for a role and experience level. Those who successfully pass the vetting will be invited to an onboarding session where they review a new talent manual, hear from seasoned talents, and understand expectations and standards of the community.
- Clients select the freelancers they'd like to work with and the platform will handle the entire contracting process.","Project-based contract between workers and employers facilitated by the platform (Survey question: what role does the platform play during the contracting process? what are the platform's responsibilities? how do they make the contract? if disputes occur, how do they handle? ",-,-,Community,-,Free choice,Handled by customer service team,High,Advanced,English,"They do not have any contact info on their website. But provide the following information: ETHIOPIA
Icon Location Gebeya
Minaye Office Park; Sub-city: Kirkos, Woreda 9, House No.
501/004/498, 14th Floor Addis Ababa, Ethiopia.  Kenya
Icon Location Gebeya
Gebeya Limited
Sifa Towers 7E, Lenana Road Nairobi, Kenya, 66049 – 00800. Delaware
Icon Location Gebeya
850 New Burton Road, Suite 201, Dover, Delaware, 19904",
LevelApp,https://www.levelapp.net/,Regional,SubSaharan Africa,-8.783195,34.508523,Africa,-,2019,Web-based,Online contracting intermediaries,Professional services,Specialised freelancing,Data annotation,"28,725 total users","Workers: freelancers
Platform: It helps people (refugees) with a smartphone and a mobile money account work on data annotation tasks. Client uploads dataset. LevelApp breaks it into tasks and assigns a price. Workers start working on tasks. Workers upload their completed tasks. Client validates successful tasks. Users withdraw mobile money for successful tasks. ",-,"$0.66 of every contracted $1 goes directly to LevelApp workers;

Price of the task is set by the platform and wokers withdraw mobile money for successful tasks",-,Training (for the purpose of completing tasks successfully),-,-,-,Low,Basic,English,No contact info is provided on the website but we may contact the CEO at linkedin.com/in/alexander-bugge-6538041a. ,"GSMA, Patrick J. McGovern Foundation, Jochnick Foundation, Svenska Postkod Stiftelsen"
Kazi Remote,https://www.kaziremote.com/,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2017,Web-based,Online contracting intermediaries,Professional services,Specialised freelancing,"Transcription, subtitling and captioning, content writing, translation services",-,"Workers: freelancers from a talent pool
Platform: it brings in projects and then distributes the tasks among a selected pool of trained workers. Once a client agrees to outsource a project of work to Kazi Remote, tasks are split up among workers in an internal platform. ",-,-,-,"Training
Apprenticeships",-,-,-,Low,Intermediate,English,We can email them at: info@kaziremote.com or call them using: +254 733 172 061,Frida Mwangi
Inploy,https://inploy.me/,Regional,"Egypt; Kenya, South Africa; MENA",-0.023559,37.906193,Africa,-,2019,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"Freelancing work in 100+ categories: visual artist, designer, 2D animator, e-commerce development, etc.",-,"Workers: freelancers
Platform: It acts as a marketplace for freelancers.",Project-based contract between workers and employers facilitated by the platform,-,-,-,-,Free choice,-,Medium,Intermediate,English,They do not have any contact info on the site but we may contact them at https://www.linkedin.com/company/inployme/,"Karim Fahmy
in.com/in/karim-fahmy-232790107/"
Ureed,https://ureed.com/,Regional,"MENAPT region (Middle East, North Africa, Pakistan and Turkey)",26.0197776,32.277834,Africa,Dubai,2017,Web-based,Online marketplace with a threshold,Professional services,Multi-sectoral freelancing,"Audio, video & animation, admin support, graphics & design, translation, etc.","100,000+ freelancers","Workers: freelancer
Platform: the platform is a marketplace between freelancers and employers. The platform charges a 20% service fee on each transaction conducted over the platform.",Project-based contract between workers and employers facilitated by the platform,-,-,Training: academy with 20+ courses for freelancers to upskilling,Employers' inspection of progress: Advanced tracking and flexible timesheets to streamline productivity of workers,Free choice,-,High,Intermediate,English & Arabic,No contact info is provided. ,Iyad Ahmad; Rakan AI Hassan; Marwan Abdelaziz https://www.linkedin.com/in/marwanabdelaziz/
Remotecoders,https://www.remotecoders.org/,Regional,MENA,-,-,Africa,Switzerland (is opening companies in Egypt),2021,Web-based,Online marketplace with a threshold,Professional services,Specialised freelancing,Coding,-,"Workers: freelancer
Platform: It offers companies vetted, highly specialized remote teams instead of individuals. Each team includes a senior leader and 2-3 vulnerable juniors. To empower disadvantaged talents from MENA to secure a remote IT job in Europe, they recruit the best senior developers in the MENA region and pair them with vulnerable juniors, who are trained remotely",-,-,-,Training,-,Hand matching,-,High,Advanced,English,We may contact them at: hello@remotecoders.org,"Christian Hirsig; Hussam Allaham (funding from Swiss government)
https://www.linkedin.com/in/christianhirsig/"
Gokada,https://www.gokada.ng/,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2018,Location-based,Situ intermediaries,Transport,Logistics/Courier,On-demand motorcycling-hailing,1200+ riders,"Workers: delivery persons, drivers
Platform: Gokada’s services include instant parcel delivery, food delivery, ride-hailing, and more.
1. Food platform- Logosians to order food
2. Partner: riders (individuals + logistic companies)",Independent contractor,Set by the platform,-,Good-in-transit insurance,In-app tracking,Algorithmic matching ,-,Low,Basic,English,No info on the site: But we may reach them at: https://www.linkedin.com/company/gokada/,"Fahim Saleh
Olutosin Oni (CEO)
https://www.linkedin.com/in/olutosinoni/"
Jumia,https://group.jumia.com,Regional,Africa,-8.783195,34.508523,Africa,Nigeria,2012,Web-based,E-commerce,Commerce; Transport,Online shopping; Logistics/Courier,"Online marketplace, logistics services and payment services","100,000+ sellers","Workers: merchants, sales persons, key opinion leader (KOL)
Platform: 1. E-commerce: selling on Jumia website, Jumia takes care of sellers' free training, customer delivery, money collection, customer service, after sales and much more. (Jumia University to train sellers on ecommerce, from operations, marketing, finance to sales)
2. JForce: Sales person
3. Logistics: have partners (individuals & companies) for last mile delivery
4. City partners: local business owners becoming Pick up station for Jumia, doing middle mile logistics from Nairobi
5. Content creator: have in-house content creators for content management of sellers' products
6. KOL: cooperate with micro-influencer/creator, mega-influencer and affiliate (who have a website or social media page that operate in the fields of cashback, deals, reviews, email marketing, loyalty programs coupons, price comarisons or similar ventures.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Medium,Intermediate,English,press@jumia.com,"Jeremy Hodara; Sacha Poignonnec; Tunde Kehinde and Raphael Kofi Afaedor
https://www.linkedin.com/in/francis-dufay-5a11561a/"
Konga,https://www.konga.com/,Regional,Africa,-8.783195,34.508523,Africa,"Gbagada, Nigeria",2012,Web-based,E-commerce,Commerce; Transport,Online shopping; Logistics/Courier,"Online marketplace for all goods, logistics services and payment services",-,"Workers: delivery persons, merchants
Platform: it is an online shopping platform and it also offers delivery services and drivers can register as a partner.",Independent contractor,-,-,-,In-app tracking,Algorithmic matching ,-,Low,Basic,English,Here is their WhatsApp contact: 0907 0038 400 and support email: help@konga.com,"        Sim Shagaya
https://www.linkedin.com/in/simdul/"
Kilimall,https://www.kilimall.co.ke/new/special/616,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2014,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace,First online shopping web in Kenya,"Workers: merchants
Platform: e-commerce platform",Independent contractor,-,-,-,-,Algorithmic matching ,-,Medium,Intermediate,English,,"Yang Tao
https://www.linkedin.com/in/believeoneself/"
Buzymart,https://www.buzymart.com/,Regional,Africa,-8.783195,34.508523,Africa,"Lagos, Nigeria",2020,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,-,"Workers: merchants
Platform: Buzymart is an African B2B Marketplace for consumer goods. Commission is as low as 3% depending on the category.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Medium,Intermediate,English,,Johnson Nwachukwu
DayDone,https://www.daydone.com.ng/,Country,Nigeria,9.081999,8.675277,Africa,"Ibadan, Nigeria",2019,Web-based,"E-commerce
",Commerce; Agriculture,Online shopping,Agtech,-,"Workers: Farmers
Platform: It connects farmers to customers",-,-,-,-,-,-,-,Medium,Intermediate,English,,Abdulwaris Atinuke 
Shopintins,Shopintins.com,Country,Ghana,7.946527,-1.023194,Africa,Ghana,2017,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,-,"Workers: merchants
Platform: it is a e-commerce platform which provides multi-vendor Marketplace service to both local and international consumers. ",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,English,,Shadrach Dameteye
Ahwenepa,https://www.ahwenepa.com/,Country,Ghana,7.946527,-1.023194,Africa,Ghana,2017,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,-,"Workers: merchants
Platform: it is a marketplace platform specializing in the sale of
African-inspired products",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,English,, Henry Nii Ayi Cobblah
Sendy,https://www.sendyit.com/,Regional,Africa,-8.783195,34.508523,Africa,Kenya,2015,Location-based,Situ intermediaries,Commerce; Transport,Logistics/Courier,Delivery,-,"Workers: delivery persons
Platform: 1. Partnering with individuals to deliver 
2. Fulfillment for merchants",Independent contractor,-,-,"Financing (savings and borrowing; buying mobile phones)
Insurance (for vehicle)
Insurance (healthcare: medical insurance scheme for workers and their families)
Other: Vehicle care",In-app tracking,-,-,Medium,Basic,English,"They provided their phone number here: 
Sendy Fulfillment
+254709779900",Mesh Alloys
ShapShap,https://shapshap.com/,Country,Nigeria,9.081999,8.675277,Africa,Nigeria,2020,Location-based,Situ intermediaries,Transport,Logistics/Courier,Delivery,-,"Workers: drivers, store owners
Platform: Delivery of parcels, documents, groceries, pharmacies and food orders from restaurants",Independent contractor,-,-,-,-,-,-,Low,Basic,English,"Email and phone number are provided below: 
Info@shapshap.com; +2348183117206",Khalil Halilu
Cpopia,https://copiaglobal.com/,Country,Kenya and Uganda,1.373333,32.290275,Africa,-,2013,Location-based,Situ intermediaries,Transport,Logistics/Courier,Delivery,"40,000+ agents","Workers: drivers, store owners
Platform: It provides delivery to middle and low-income (rural) regions in Kenya and Uganda, Most agents (70%) are women.",Independent contractor,-,-,-,In-app tracking,Algorithmic matching ,-,Low,Basic,English,Email: info@copiakenya.com,Tracey Turner and Jonathan Lewis
Taskfinda,https://www.taskfinda.com/,Country,South Africa,-30.559482,22.937506,Africa,-,2019,Both,Online marketplace,Professional services,Multi-sectoral freelancing; Personal service,task based,-,"Workers: freelancer
Platform: People can post their needs (anything from web design to cleaning and moving home) on Airtasker and taskers give offers. ",Independent contractor,-,-,-,-,Free choice,-,Low,Basic,English,,
Kuhustle,https://www.kuhustle.com/,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2014,Web-based,Online marketplace,Professional services,Specialised freelancing,"Software development, tutoring and training, content and marketing, etc.","10,000+ Freelancers","Workers: freelancer
Platform: Kuhustle connects clients to Africa's top tech talent on-demand. Customers are able to access software development services by getting connected to product managers who ensure the projects are delivered on time and within budget. Three steps to employing a freelancer: 1. Post a job and get quotes, 2. Work with a product manager, 3. Hire someone full-time",-,-,-,-,-,Hand matching,Dispute resolution,Medium,Intermediate,English,Email: hello@kuhustle.com,"Billy Odero, Sam Gichuru"
Onesha,https://onesha.co.ke/,Regional,Africa,-8.783195,34.508523,Africa,"Nairobi, Kenya ",2015,Web-based,Online marketplace,"Media, culture, graphic",Specialised freelancing,Creatives,100+ freelance creative talents,"Workers: freelancer
Platform: it connects the clients seeking creative services to experts in the creative industry. it operates in 1) Digital media content; 2) Social media; 3) Content production. Clients choose a service and give requests. The platform assigns a creative and get the task done.",-,-,-,-,-,Hand matching,-,High,Intermediate,English,"Email and phone number provided below:    +254 798 206888
   hello@onesha.co.ke",Benerd Momanyi
AfriBlocks,https://afriblocks.com/,Regional,Africa,-8.783195,34.508523,Africa,Zimbabwe; USA,2019,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,Freelance marketplace,-,"Workers: freelancers
Platform: It is an on-demand, two-sided marketplace with professional freelancers providing services to clients across the world at affordable pricing transforming the way African professionals work & solving the problem of unemployment. Freelancers get assigned to jobs that match their skill level. A project manager is also assigned to track the process.",-,-,-,"Community: pan-African freelancers community

Training: free courses from A.I, Data Science, Machine Learning to communication skills",Project manager to track the progress,Algorithmic matching ,-,High,Intermediate,English,Email: info@afriblocks.com,"Roger Roman, Tongayi Choto"
Africa Foresight,https://africaforesight.com/,Regional,Africa,-8.783195,34.508523,Africa,"UK,Ghana, Ebonyi, Nigeria",2016,Web-based,Online marketplace with a threshold,Professional services,Specialised freelancing,Consultant services,200+ consultants,"Workers: freelancers
Platform: It is a marketplace for African consulting and interim management freelancers. NextGen Business Analyst training develops young professionals into top business analysts equipped to unlock the potential of African companies through training, mentorship, and coaching by Pan-African business leaders.",-,-,-,-,-,Hand matching,-,High,Intermediate,English,No contact details provided,Yasmin Kumi
